city,mortality,precip,jantemp,house,educ,density,nonwhite,poor,nox,so2
"San Jose,CA",790.73,13,49,3.36,12.2,2702,3,9.7,32,3
"Wichita,KS",823.76,28,32,3.27,12.1,3665,7.5,13.2,2,1
"San Diego,CA",839.71,10,55,3.11,12.1,3033,5.9,14,66,20
"Lancaster,PA",844.05,43,32,3.38,9.5,3214,2.9,12,7,32
"Minneapolis,MN",857.62,25,12,3.28,12.1,2095,2,9.8,11,26
"Dallas,TX",860.1,35,46,3.22,11.8,1441,14.8,16.1,1,1
"Miami,FL",861.44,60,67,2.98,11.5,4657,13.5,22.4,1,1
"Los Angeles,CA",861.83,11,53,2.99,12.1,4700,7.8,12.3,319,130
"Grand Rapids,MI",871.34,31,24,3.37,10.9,3226,5.1,12.3,3,10
"Denver,CO",871.77,15,30,3.15,12.2,4824,4.7,12.7,8,28
"Rochester,NY",874.28,32,25,3.21,11.1,4355,5,10.8,4,18
"Hartford,CT",887.47,43,27,3.25,11.5,2909,7.2,9.5,3,10
"Fort Worth,TX",891.71,31,45,3.22,11.4,1844,11.5,18.5,1,1
"Portland,OR",893.99,37,38,2.99,12,3387,3.6,13.5,21,44
"Worcester,MA",895.7,45,24,3.25,11.1,3678,1,14,3,8
"Seattle,WA",899.26,35,40,3.02,12.2,3626,5.7,10.1,7,20
"Bridgeport,CT",899.53,45,30,3.29,10.6,2140,5.3,10.5,4,4
"Springfield,MA",904.16,45,28,3.21,11.1,1883,3.4,12.3,4,20
"San Francisco,CA",911.7,18,48,2.92,12.2,4253,13.7,12,171,86
"York,PA",911.82,42,33,3.22,9,9699,4.8,14.5,8,49
"Utica,NY",912.2,40,23,3.28,10.3,1671,2.5,13.5,2,11
"Canton,OH",912.35,36,27,3.36,10.7,4213,6.7,13.2,7,20
"Kansas City,MO",919.73,35,31,3.1,12,3262,12.6,13.9,4,4
"Akron,OH",921.87,36,27,3.34,11.4,3243,8.8,11.7,15,59
"New Haven,CT",923.23,46,30,3.16,11.3,3327,8.8,12.2,3,8
"Milwaukee,WI",929.15,30,20,3.26,11.1,2934,5.8,9.4,23,125
"Boston,MA",934.7,43,30,3.23,12.1,4679,3.5,11.3,32,62
"Dayton,OH",936.23,36,30,3.35,11.4,4029,12.4,12,4,16
"Providence,RI",938.5,42,29,3.19,10.1,3508,2.2,15.7,4,18
"Flint,MI",941.18,30,24,3.53,10.8,3694,13.1,12.4,4,11
"Reading,PA",946.18,41,33,3.08,9.6,4843,2.7,14.1,11,89
"Syracuse,NY",950.67,38,24,3.34,11.4,4923,3.8,11.1,5,25
"Houston,TX",952.53,46,55,3.35,11.4,2647,21,17.9,5,1
"Saint Louis,MO",953.56,34,32,3.23,9.7,5160,17.2,15.3,15,68
"Youngstown,OH",954.44,38,28,3.48,10.7,3451,11.7,13,13,39
"Columbus,OH",958.84,37,31,3.26,11.9,4259,13.1,13.9,9,15
"Detroit,MI",959.22,31,27,3.44,10.8,4834,15.8,13.6,35,124
"Nashville,TN",961.01,45,40,3.32,10.1,2682,21,24.1,14,78
"Allentown,PA",962.35,44,29,3.21,9.8,4260,0.8,12.4,6,33
"Washington,DC",967.8,41,37,3.25,12.3,5308,25.9,10.3,28,102
"Indianapolis,IN",968.66,39,29,3.23,11.4,4412,15.6,13.2,7,33
"Cincinnati,OH",970.47,40,34,3.21,10.2,4101,13,15.1,26,146
"Greeensboro,NC",971.12,42,40,3.45,10.4,2269,22.7,19.5,3,5
"Toledo,OH",972.46,31,26,3.22,10.7,3249,9.5,13.6,7,25
"Atlanta,GA",982.29,47,45,3.41,11.1,3125,27.1,20.6,8,24
"Cleveland,OH",985.95,35,28,3.29,11.1,3042,14.7,11.4,21,64
"Louisville,KY",989.27,30,35,3.37,9.9,4474,13.1,17.7,37,193
"Pittsburgh,PA",991.29,36,29,3.32,10.6,3437,8.1,13.8,59,263
"New York,NY",994.65,42,33,3.03,10.7,7462,11.3,12.4,26,108
"Albany,NY",997.88,35,23,3.14,11,4281,3.5,14.4,10,39
"Buffalo,NY",1001.9,36,24,3.31,10.5,6582,8.1,12.6,12,37
"Wilmington,DE",1003.5,45,33,3.39,11.3,3152,12.1,10.9,11,42
"Memphis,TN",1006.49,50,42,3.49,10.4,3497,36.7,26.4,18,34
"Philadelphia,PA",1015.02,42,32,3.32,10.5,6092,17.5,13.2,32,161
"Chattanooga,TN",1017.61,52,42,3.39,9.6,2302,22.2,24.2,8,27
"Chicago,IL",1024.89,33,26,3.2,10.9,6122,16.3,10.7,63,278
"Richmond,VA",1025.5,44,39,3.32,11,3768,28.6,17.5,9,48
"Birmingham,AL",1030.38,53,45,3.45,10.2,3235,38.5,25.5,32,72
"Baltimore,MD",1071.29,43,35,3.44,9.6,6441,24.4,14.3,38,206
"New Orleans,LA",1113.06,54,54,3.36,9.7,3172,31.4,24.2,17,1
