copper,zinc,protein
          .00,          .00,       201.00
          .00,       375.00,       186.00
          .00,       750.00,       173.00
          .00,      1125.00,       110.00
          .00,      1500.00,       115.00
        37.50,          .00,       202.00
        37.50,       375.00,       161.00
        37.50,       750.00,       172.00
        37.50,      1125.00,       138.00
        37.50,      1500.00,       133.00
        75.00,          .00,       204.00
        75.00,       375.00,       165.00
        75.00,       750.00,       148.00
        75.00,      1125.00,       143.00
        75.00,      1500.00,       123.00
       112.50,          .00,       188.00
       112.50,       375.00,       172.00
       112.50,       750.00,       157.00
       112.50,      1125.00,       115.00
       112.50,      1500.00,       108.00
       150.00,          .00,       133.00
       150.00,       375.00,       125.00
       150.00,       750.00,       184.00
       150.00,      1125.00,       135.00
       150.00,      1500.00,       114.00
