height,armspan,footlen,sex
164.5,159.0,24.0,F
173.0,161.0,24.0,F
173.0,174.5,24.0,F
200.0,203.0,31.0,M
179.0,178.0,27.0,F
170.0,171.0,26.0,M
173.0,177.0,23.0,F
163.0,162.0,25.0,F
170.0,169.0,25.0,F
160.0,160.0,23.5,F
191.0,180.0,26.0,F
178.0,180.0,26.0,M
168.0,173.0,26.0,M
152.4,156.0,21.0,F
171.0,165.0,27.0,M
183.0,180.0,28.0,M
170.0,176.0,29.0,F
176.0,193.0,30.0,M
180.0,184.0,27.0,M
190.5,183.0,29.0,M
179.2,189.0,27.5,M
168.5,164.0,25.5,F
172.0,150.0,24.0,F
190.5,195.0,29.0,M
188.0,190.0,30.0,M
157.5,162.6,22.9,F
190.0,190.0,29.0,M
188.0,193.0,29.0,M
178.0,170.0,22.0,F
163.0,156.5,23.0,F
169.0,168.0,26.0,F
183.0,180.0,28.0,F
167.0,151.0,25.0,F
