plantconc,soilconc,type
 33.3,1,Corn
 25.8,1,Corn
 24.6,1,Corn
 15.1,1,Corn
 18.0,1,Corn
 31.4,2,Corn
 35.7,2,Corn
 14.5,2,Corn
 40.9,2,Corn
 22.9,2,Corn
 40.4,3,Corn
 35.2,3,Corn
 52.1,3,Corn
 30.7,3,Corn
 46.9,3,Corn
 65.6,4,Corn
 74.7,4,Corn
 77.3,4,Corn
 64.2,4,Corn
 71.3,4,Corn
 94.4,5,Corn
 94.9,5,Corn
 88.1,5,Corn
100.1,5,Corn
104.8,5,Corn
123.4,6,Corn
158.6,6,Corn
137.3,6,Corn
156.7,6,Corn
133.5,6,Corn
 17.4,1,Wheat
  9.2,1,Wheat
 10.0,1,Wheat
 25.9,1,Wheat
  8.6,1,Wheat
 10.5,2,Wheat
 34.6,2,Wheat
 23.4,2,Wheat
 18.4,2,Wheat
 24.9,2,Wheat
 27.1,3,Wheat
 13.5,3,Wheat
 30.3,3,Wheat
 19.3,3,Wheat
 33.6,3,Wheat
 50.6,4,Wheat
 53.9,4,Wheat
 55.2,4,Wheat
 48.6,4,Wheat
 35.2,4,Wheat
 84.9,5,Wheat
 77.6,5,Wheat
 93.3,5,Wheat
 64.3,5,Wheat
 74.2,5,Wheat
107.5,6,Wheat
 91.9,6,Wheat
 87.7,6,Wheat
106.2,6,Wheat
108.1,6,Wheat
  1.1,1,Barley
 23.1,1,Barley
  9.6,1,Barley
  4.5,1,Barley
  8.2,1,Barley
 21.2,2,Barley
  4.3,2,Barley
  9.6,2,Barley
  6.4,2,Barley
 23.2,2,Barley
 30.8,3,Barley
 22.0,3,Barley
 12.9,3,Barley
  3.5,3,Barley
 27.9,3,Barley
 36.6,4,Barley
 34.2,4,Barley
  6.8,4,Barley
 27.7,4,Barley
 39.5,4,Barley
 56.7,5,Barley
 42.8,5,Barley
 49.0,5,Barley
 47.9,5,Barley
 45.2,5,Barley
 70.8,6,Barley
 75.7,6,Barley
100.3,6,Barley
 64.6,6,Barley
 70.1,6,Barley
