year,    temp
1881,    -.25
1882,    -.26
1883,    -.34
1884,    -.72
1885,    -.46
1886,    -.49
1887,    -.59
1888,    -.26
1889,    -.11
1890,    -.32
1891,    -.27
1892,    -.37
1893,    -.33
1894,    -.30
1895,    -.24
1896,    -.17
1897,     .05
1898,    -.30
1899,    -.08
1900,     .09
1901,    -.05
1902,    -.28
1903,    -.31
1904,    -.38
1905,    -.17
1906,    -.10
1907,    -.40
1908,    -.33
1909,    -.24
1910,    -.29
1911,    -.22
1912,    -.29
1913,    -.27
1914,    -.07
1915,     .00
1916,    -.22
1917,    -.49
1918,    -.39
1919,    -.21
1920,    -.12
1921,    -.05
1922,    -.12
1923,    -.11
1924,    -.07
1925,     .05
1926,     .27
1927,     .14
1928,     .13
1929,    -.10
1930,     .17
1931,     .28
1932,     .17
1933,    -.19
1934,     .15
1935,     .10
1936,     .12
1937,     .35
1938,     .29
1939,     .14
1940,     .21
1941,     .23
1942,     .19
1943,     .09
1944,     .20
1945,     .03
1946,     .10
1947,     .21
1948,     .14
1949,     .05
1950,    -.05
1951,     .14
1952,     .11
1953,     .28
1954,     .00
1955,    -.09
1956,    -.24
1957,     .03
1958,     .19
1959,     .14
1960,     .10
1961,     .11
1962,     .10
1963,     .12
1964,    -.27
1965,    -.22
1966,    -.03
1967,     .02
1968,    -.13
1969,     .00
1970,     .02
1971,    -.18
1972,    -.21
1973,     .18
1974,    -.14
1975,    -.02
1976,    -.22
1977,     .18
1978,     .08
1979,     .20
1980,     .24
1981,     .49
1982,     .11
1983,     .39
1984,     .08
1985,     .03
1986,     .23
1987,     .35
1988,     .45
1989,     .36
1990,     .57
1991,     .50
1992,     .18
1993,     .30
1994,     .47
1995,     .78
1996,     .46
1997,     .61
1998,     .87
1999,     .62
2000,     .63
2001,     .76
2002,     .87
2003,     .88
2004,     .86
2005,    1.08
2006,     .99
2007,    1.15
2008,     .86
2009,     .80
2010,    1.08
2011,     .89
2012,     .91
2013,     .88
2014,     .95
